"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_search_sequence","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","1","test_blast_local_internal","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","11","test_json_config","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"","1","test_instantiate_rna_seq_pipeline","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_modules_import","",""
"","103","test_pie_plot_explode_list","packages.plot.tests","Sun Apr 19 10:51:12 UTC 2026","passed","Sun Apr 19 10:51:12 UTC 2026","","test_pie","",""
"","254","test_line_plot_generation","packages.plot.tests","Sun Apr 19 10:50:56 UTC 2026","passed","Sun Apr 19 10:50:56 UTC 2026","","test_line","",""
"","150","test_python_aligner","packages.msa.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_msa","",""
"
    ?????????????????
    ","2837","test_all_themes_all_plots","packages.plot.tests","Sun Apr 19 10:51:13 UTC 2026","passed","Sun Apr 19 10:51:15 UTC 2026","","test_themes_exhaustive","",""
"","22","test_engine_config","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"","18","test_docking_node_complex_output","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_complex_output","",""
"","12","test_run_success","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_subprocess_new","",""
"","1","test_factory_create_smina","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","TestSminaEngine","test_smina","",""
"","2853","test_msa_plot_custom_base_colors","packages.plot.tests","Sun Apr 19 10:51:05 UTC 2026","passed","Sun Apr 19 10:51:08 UTC 2026","","test_msa_plot","",""
"","163","test_box_plot_generation","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_box","",""
"Test that initialization fails if gnina is missing.","1","test_initialization_fail_if_missing","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","skipped","Sun Apr 19 10:49:45 UTC 2026","TestGninaEngine","test_gnina","",""
"","18","test_save_complexes","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_complex_output","",""
"测试 ThemeTemplate 目录已存在时抛出异常","1","test_theme_template_create_exists","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_create","",""
"","477","test_chromosome_plot_custom_colors","packages.plot.tests","Sun Apr 19 10:50:52 UTC 2026","passed","Sun Apr 19 10:50:52 UTC 2026","","test_chromosome","",""
"","1","test_blast_local_not_found","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
